keyresult,target,,
 Exceed Net Promoter Score (NPS) of over 8.0 ,1,,
 Get 1000 survey responses to annual satisfaction survey ,1,,
 Conduct 50 phone interviews with top customers ,1,,
 Conduct 15 phone interviews with recently churned customers ,1,,
 Present an action plan of 10 improvements for next 90 days  ,1,,
 Get over 10000 new signups ,1,,
 Get published product reviews in over 15 publications ,1,,
 Achieve sign-up to % trial ratio of over 25% ,1,,
 Achieve trial to % paid ratio of over 50% ,1,,
 Hit 90 days  revenue of over $1000000 ,1,,
 Start sales in 2 new countries and achieve first 90 days  revenues totaling over $100000 ,1,,
 Increase gross profit margin % from 54% to 63% ,1,,
 25 on-site user-testing sessions to understand key product misunderstandings ,1,,
 10 tests of our recent infographics and slide decks for customer understanding ,1,,
 Get 1000 answers to an online user survey sent to all last 90 days signups ,1,,
 Conduct a team hackathon to create and publish full portfolio of product materials ,1,,
 Present an action plan for next 90 days 's messaging improvements ,1,,
 Reach 30 days recurring revenue ($ MRR) of $250000 ,1,,
 Increase the share of 30 days subscriptions vs one-time contracts sold to 85% ,1,,
 Increase average subscription size to at least $295 per 30 days ,1,,
 Increase annual renewals to 75% ,1,,
 Reduce churn % to less than 1% 30 days ,1,,
 E-mail and phone outreach to 100 VCs and seed funds ,1,,
 Get at least 30 second contact meetings or conference calls ,1,,
 Solicit at least 3 term sheets of our minimum required terms ,1,,
 Close an investment round with the minimum of $10 million pre-money ,1,,
 Conduct 3 30 days meetings ,1,,
 Interview 48 employees on their needs for improving our work culture. ,1,,
 Implement using OKRs and Ally software in all teams ,0,,N/M
 Reach 7 daysly employee satisfaction score of at least 4.7 points ,1,,
 All 13 teams to have an internal brainstorm meeting: ,1,,
 Benchmark everything related to product to 10 key competitors ,1,,
 Survey 100 customers on their thoughts where we need to be better ,1,,
 Create an action list of 10 company-wide improvement activities ,1,,
 Hit 90 days  revenue of over $100000 ,1,,
 Start sales in 2 new countries and achieve first 90 days  revenues totaling over $100000 ,1,,
 Increase gross profit % margin from 23% to 54% ,1,,
 Increase calls per salesperson to 6300 per 90 days  ,1,,
 Achieve at least 315 demo calls per salesperson per 90 days  ,1,,
 At least 33% of online signups % reached via calling them back ,1,,
 Have each salesperson spend at least 84 hours per 30 days on support chat ,1,,
 Reach 30 days recurring revenue ($ MRR) of $250k ,1,,
 Increase the share of 30 days subscriptions vs one-time contracts sold to 85% ,1,,
 Increase average subscription size to at least $295 per 30 days ,1,,
 Increase % annual renewals to 75% ,1,,
 Reduce churn % to less than 1% 30 days ,1,,
 Create the list of lead metrics and scripted questions to collect in CRM ,1,,
 Make sure at least 75% of leads have the obligatory question answers filled in ,1,,
 With development automate the data collection from our backend to CRM ,1,,
 Redesign signup form to ask for 3 new obligatory screening questions ,1,,
 Make sure at least 50% of signups % called back in first 24 hours ,1,,
 Have all salespeople listen in to at least 10 product demos of other team members ,1,,
 Create a best practices sales process document with minimum allowed service levels ,1,,
 25 on-site user-testing sessions to understand key product misunderstandings ,1,,
 10 tests of our recent infographics and slide decks for customer understanding ,1,,
 Get 1000 answers to an online user survey sent to all last 90 days 's signups ,1,,
 Conduct a team hackathon to create and publish full portfolio of product materials ,1,,
 Present an action plan for next 90 days 's messaging improvements ,1,,
 Talk to 10 external editors to receive feedback on our articles and infographics ,1,,
 Conduct 21 face to face content testing & interview sessions with users ,1,,
 Organize an online survey with min 100 answers to rate our various content ,1,,
few website visitors ,0,,
few signups ,0,,
few trials ,0,,
 3500 new paid customers ,1,,
 Maximum paid user acquisition cost of $25 ,1,,
 Implement 12 new channels/mediums where to post old or new content ,1,,
 Get 60 marketing takeaways from reading 1h of marketing materials a day ,1,,
 1 test from a product review site for paid promotion ,1,,
 Conduct 12 online client surveys and analyze the results ,1,,
 Map our customer journey to understand what influences their buying decision. ,1,,
 Map and analyze all of our current marketing channels and give at least 10 recommendations to improve them. ,1,,
" Finalize the content strategy, key messages and topic structure for next 180 days",1,,
" Grow subscriber base at least 5% per 7 days, getting to 50000 readers ",1,,
 Increase the CTR% to above industry average 3.5% ,1,,
 Conduct a day-long planning session with each division manager ,1,,
 Receive business line budget proposals before Sept 1st ,1,,
 Have each business line manager start using our online dashboards ,1,,
 Close the final budget by November 30th ,1,,
 E-mail and phone outreach to 100 VCs and seed funds ,1,,
 Get at least 30 second contact meetings or conference calls ,1,,
 Solicit at least 3 term sheets of our minimum required terms ,1,,
 Close an investment round with the minimum of $10 million pre-money ,1,,
 Conduct 3 monthly meetings ,1,,
 Interview 48 employees on their needs for improving our work culture. ,1,,
 Implement using OKRs and Ally software in all teams ,1,,
 Reach weekly employee satisfaction score of at least 4.7 points ,1,,
 Survey all employees on our current values (min 75 answers received) ,1,,
" With 3 separate teams, conduct brainstorm sessions to redefine our culture ",1,,
 Design and promote our new values on intranet and in office environment ,1,,
 Conduct career day seminars in 5 universities ,1,,
 Harvest Linkedin to collect 250 potential new candidates ,1,,
 Organize an open career day at the office with at least 50 participants ,1,,
 Redesign and publish our careers and jobs website section ,1,,
 Decrease number of complaints and negative feedback per quarter from 15 to 5 ,1,,
 Increase positive feedback items and praise from 5 to 15 per quarter ,1,,
 Increase end-user satisfaction rating from 4.0 to 4.5 ,1,,
 Survey 15 team leaders on our educational needs and gaps ,1,,
 Talk to 3 other companies HR Directors on how they do internal education ,1,,
 Define 10 training modules and design content for each ,1,,
 Conduct the first 3-day team offsite to test out the Academy curriculum ,1,,
 Get over 10000 new signups ,1,,
 Get published product reviews in over 15 publications ,1,,
 Achieve sign-up ratio,0,,
 Achieve trial,0,,
 Conduct at least 21 face to face user testing & interview sessions ,1,,
 Receive at least 15 video interviews from Usertesting.com ,1,,
" Document clear role division between sales, marketing, design and development ",1,,
" Decide on and document the process of input methods to and from sales, marketing, design and development back into product management ",1,,
